Date,Time,Device,Purpose,SpeedDownload,SpeedUpload,NumberofAvailableNetworks,NumberOfDevices,InternetExperience,PeakHour
10/9/2019,0:00,Windows,Browsing,64,82.3,7,178,Good,No
10/9/2019,9:09,Windows,Browsing,16.95,3.25,16,441,Poor,No
10/9/2019,9:12,MacBook,Meeting,9.64,0.07,9,460,Poor,No
10/9/2019,9:15,Android,Gaming,9.52,9.4,8,486,Poor,No
10/9/2019,9:18,iPhone,Research,17.19,37.86,20,531,Poor,No
10/9/2019,9:22,iPhone,Assignment,24.04,13.26,37,484,Average,No
10/9/2019,9:26,MacBook,Browsing,15.1,2.02,46,488,Poor,No
10/9/2019,11:18,iPhone,Streaming,3.03,7.8,49,32,Poor,No
10/9/2019,11:18,iPhone,Browsing,7.18,41.83,22,132,Poor,No
10/21/2019,3:01,Windows,Streaming,95.37,91.63,17,111,Good,No
10/24/2019,3:43,iPhone,Meeting,106.3,87.65,30,56,Good,No
10/1/2019,2:13,Android,Meeting,67.75,46.3,41,53,Good,No
10/18/2019,6:45,MacBook,Streaming,22.21,97.99,31,341,Average,No
10/9/2019,0:48,Android,Research,68.78,52.69,30,214,Good,No
10/9/2019,4:13,Windows,Assignment,116.29,38.05,8,234,Good,No
10/4/2019,11:54,Windows,Meeting,104.22,73.9,19,453,Good,No
10/2/2019,23:29,iPhone,Browsing,9.62,17.39,8,322,Poor,Yes
10/10/2019,20:39,Windows,Meeting,29.73,24.36,15,400,Average,Yes
10/3/2019,1:42,Android,Gaming,127.34,75.15,8,477,Good,No
10/8/2019,3:24,Windows,Browsing,193.03,37.39,43,467,Good,No
10/12/2019,5:23,Windows,Streaming,61.05,63.17,45,176,Good,No
10/23/2019,21:41,iPhone,Meeting,5.81,26.34,43,127,Poor,Yes
10/18/2019,23:15,Android,Browsing,29.04,18.15,27,178,Average,Yes
10/30/2019,20:44,Android,Research,14.66,6.04,23,471,Poor,Yes
10/25/2019,1:14,iPhone,Gaming,47.38,87.31,28,177,Average,No
10/3/2019,6:58,Windows,Streaming,67.57,52.19,44,295,Good,No
10/13/2019,20:29,Android,Gaming,25.01,27.27,11,166,Average,Yes
10/24/2019,17:34,Windows,Research,84,74.44,40,259,Good,No
10/29/2019,18:25,Windows,Streaming,33.72,19.4,11,300,Average,Yes
10/16/2019,2:48,iPhone,Assignment,64.17,85.19,12,361,Good,No
10/6/2019,21:27,iPhone,Browsing,17.43,15.06,27,345,Poor,Yes
10/15/2019,16:16,iPhone,Research,119.58,56.24,49,98,Good,No
10/22/2019,17:48,Windows,Research,0.5,75.37,24,97,Poor,No
10/10/2019,13:10,MacBook,Assignment,61.16,56.33,49,488,Good,No
10/24/2019,8:32,Android,Meeting,90.85,60.02,9,485,Good,No
10/21/2019,9:53,Android,Streaming,82.52,4.33,26,430,Good,No
10/6/2019,17:49,iPhone,Meeting,41.99,107.12,23,290,Average,No
10/1/2019,3:59,Windows,Gaming,74.35,14.79,18,69,Good,No
10/8/2019,18:05,iPhone,Research,9.27,10.06,34,457,Poor,Yes
10/3/2019,17:49,Android,Streaming,78.58,52.02,45,283,Good,No
10/18/2019,5:16,MacBook,Streaming,51.93,65.12,37,426,Good,No
10/24/2019,22:12,Windows,Browsing,24.78,15.93,45,372,Average,Yes
10/12/2019,14:57,MacBook,Assignment,54.89,52.36,18,155,Good,No
10/3/2019,10:01,Android,Meeting,86.89,64.78,17,43,Good,No
10/3/2019,22:40,iPhone,Streaming,27.67,8.8,7,503,Average,Yes
10/2/2019,10:04,Android,Gaming,47.86,88.19,45,288,Average,No
10/7/2019,17:08,MacBook,Streaming,46.94,106.52,33,453,Average,No
10/14/2019,6:06,iPhone,Research,124.18,106.77,30,221,Good,No
10/14/2019,13:29,iPhone,Research,44.18,67.31,44,543,Average,No
10/21/2019,3:03,MacBook,Research,57.73,92.69,24,449,Good,No
10/28/2019,3:15,Android,Streaming,134.73,91.21,37,269,Good,No
10/5/2019,13:11,Windows,Browsing,75.32,54.03,18,487,Good,No
10/30/2019,2:28,iPhone,Assignment,97.72,28.31,44,316,Good,No
10/27/2019,0:05,Android,Streaming,93.77,37.56,29,288,Good,No
10/16/2019,6:55,MacBook,Assignment,96.72,60.17,13,234,Good,No
10/1/2019,12:16,MacBook,Gaming,61.41,38.43,30,396,Good,No
10/24/2019,17:42,MacBook,Streaming,62.51,81.68,15,191,Good,No
10/7/2019,1:37,iPhone,Research,111.54,80.79,23,69,Good,No
10/2/2019,18:30,Android,Assignment,33.64,38.31,35,81,Average,Yes
10/28/2019,5:04,iPhone,Research,63.64,58.82,18,246,Good,No
10/4/2019,18:15,iPhone,Meeting,5.6,27.53,8,254,Poor,Yes
10/22/2019,18:36,Windows,Gaming,32.99,11.06,16,382,Average,Yes
10/23/2019,10:15,Windows,Browsing,96.62,101.51,11,383,Good,No
10/21/2019,9:29,Windows,Assignment,82.92,90.42,3,274,Good,No
10/20/2019,18:06,iPhone,Meeting,21.75,8.27,16,299,Average,Yes
10/9/2019,4:59,Windows,Assignment,111.73,104.75,18,229,Good,No
10/10/2019,5:28,Windows,Meeting,100.71,36.37,44,310,Good,No
10/1/2019,21:52,Windows,Research,12.49,8.96,9,520,Poor,Yes
10/29/2019,4:16,iPhone,Assignment,101.95,103.05,50,323,Good,No
10/5/2019,8:18,Android,Research,89.86,93.22,24,144,Good,No
10/22/2019,20:54,Windows,Meeting,11.32,19.17,34,168,Poor,Yes
10/29/2019,1:05,MacBook,Gaming,27.05,41.85,5,41,Average,No
10/11/2019,4:40,Windows,Streaming,105.75,57.81,50,266,Good,No
10/18/2019,22:27,iPhone,Assignment,32.09,22.3,7,523,Average,Yes
10/29/2019,22:57,Android,Meeting,47.34,18.75,5,467,Average,Yes
10/12/2019,18:35,Android,Browsing,5.94,17.72,11,61,Poor,Yes
10/10/2019,11:57,iPhone,Gaming,41.29,94.32,16,389,Average,No
10/8/2019,21:06,Windows,Meeting,20.42,16.9,29,538,Average,Yes
10/20/2019,23:09,Android,Streaming,18.76,23.92,14,491,Poor,Yes
10/14/2019,0:11,Windows,Browsing,59.16,88.31,45,482,Good,No
10/24/2019,7:17,Android,Research,111.59,54.74,9,235,Good,No
10/28/2019,1:54,MacBook,Streaming,42.59,49.61,15,458,Average,No
10/30/2019,14:22,Windows,Streaming,99.85,67.77,17,52,Good,No
10/22/2019,6:25,Windows,Gaming,97.05,117.89,7,535,Good,No
10/25/2019,8:22,MacBook,Research,83.08,40.73,37,209,Good,No
10/1/2019,3:56,Windows,Streaming,112.01,66.54,40,532,Good,No
10/9/2019,1:06,MacBook,Gaming,105.54,96.99,49,442,Good,No
10/11/2019,13:38,iPhone,Browsing,41.43,106.46,39,137,Average,No
10/9/2019,1:45,MacBook,Assignment,106.68,46.88,36,513,Good,No
10/26/2019,17:43,Android,Gaming,85.66,72.72,30,75,Good,No
10/22/2019,10:39,Windows,Research,75.84,91.16,10,408,Good,No
10/29/2019,9:32,Windows,Research,125.31,65.22,29,207,Good,No
10/13/2019,22:18,Android,Streaming,33.31,25.91,29,380,Average,Yes
10/13/2019,21:47,Android,Meeting,22.32,19.41,39,194,Average,Yes
10/13/2019,17:53,iPhone,Gaming,34.66,19.98,21,147,Average,No
10/14/2019,18:38,Windows,Browsing,21.65,11.15,31,266,Average,Yes
10/22/2019,6:32,MacBook,Research,73.61,48.96,13,377,Good,No
10/3/2019,9:32,Windows,Assignment,12.4,75.72,18,384,Poor,No
10/10/2019,7:51,Android,Streaming,60.49,67.41,4,63,Good,No
10/8/2019,15:39,iPhone,Browsing,43.74,54.96,29,493,Average,No
10/21/2019,18:12,MacBook,Browsing,35.6,19.03,28,164,Average,Yes
10/5/2019,20:44,iPhone,Assignment,25.5,7.83,30,152,Average,Yes
10/6/2019,22:33,MacBook,Assignment,43.89,32.75,38,167,Average,Yes
10/30/2019,3:29,Android,Browsing,122.72,89.86,45,311,Good,No
10/18/2019,19:20,MacBook,Meeting,20.15,21.54,49,496,Average,Yes
10/17/2019,13:53,MacBook,Streaming,111.68,46.14,50,481,Good,No
10/16/2019,14:16,Android,Research,59.44,14.93,20,432,Good,No
10/25/2019,16:31,Android,Gaming,47.99,114.84,31,79,Average,No
10/23/2019,9:15,Windows,Gaming,63.3,55.46,23,497,Good,No
10/18/2019,2:08,Android,Streaming,86.12,16.63,27,395,Good,No
10/5/2019,22:13,iPhone,Browsing,29.45,28.13,29,209,Average,Yes
10/18/2019,14:26,iPhone,Streaming,88.21,114.54,29,239,Good,No
10/29/2019,18:44,iPhone,Meeting,6.73,32.75,27,284,Poor,Yes
10/1/2019,11:19,MacBook,Browsing,49.42,26.6,37,422,Average,No
10/24/2019,17:51,Android,Browsing,66.69,121.16,17,179,Good,No
10/14/2019,15:01,MacBook,Gaming,74.32,37.02,45,387,Good,No
10/26/2019,12:46,Android,Browsing,29.68,61.85,11,542,Average,No
10/20/2019,17:01,MacBook,Meeting,5.18,25.99,39,379,Poor,No
10/1/2019,2:41,MacBook,Streaming,129.01,104.7,32,133,Good,No
10/2/2019,8:24,Windows,Streaming,70.51,51.03,32,207,Good,No
